"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"GME00102268","DUSSELDORF, GM","1970-01-01","0.01","0.0",,"18","16"
"GME00102268","DUSSELDORF, GM","1970-01-02","0.08","0.0",,"35","15"
"GME00102268","DUSSELDORF, GM","1970-01-03","0.22","0.0",,"36","32"
"GME00102268","DUSSELDORF, GM","1970-01-04","0.00","0.8",,"33","24"
"GME00102268","DUSSELDORF, GM","1970-01-05","0.02","0.4",,"30","23"
"GME00102268","DUSSELDORF, GM","1970-01-06","0.08","0.4",,"35","29"
"GME00102268","DUSSELDORF, GM","1970-01-07","0.00","0.8",,"34","23"
"GME00102268","DUSSELDORF, GM","1970-01-08","0.30","0.8",,"32","19"
"GME00102268","DUSSELDORF, GM","1970-01-09","0.03","1.2",,"37","29"
"GME00102268","DUSSELDORF, GM","1970-01-10","0.02","0.8",,"38","36"
"GME00102268","DUSSELDORF, GM","1970-01-11","0.06","0.0",,"46","38"
"GME00102268","DUSSELDORF, GM","1970-01-12","0.00","0.0",,"47","39"
"GME00102268","DUSSELDORF, GM","1970-01-13","0.00","0.0",,"46","40"
"GME00102268","DUSSELDORF, GM","1970-01-14","0.00","0.0",,"47","37"
"GME00102268","DUSSELDORF, GM","1970-01-15","0.00","0.0",,"46","39"
"GME00102268","DUSSELDORF, GM","1970-01-16","0.04","0.0",,"44","36"
"GME00102268","DUSSELDORF, GM","1970-01-17","0.00","0.0",,"41","35"
"GME00102268","DUSSELDORF, GM","1970-01-18","0.00","0.0",,"42","35"
"GME00102268","DUSSELDORF, GM","1970-01-19","0.00","0.0",,"36","32"
"GME00102268","DUSSELDORF, GM","1970-01-20","0.00","0.0",,"36","26"
"GME00102268","DUSSELDORF, GM","1970-01-21","0.00","0.0",,"33","23"
"GME00102268","DUSSELDORF, GM","1970-01-22","0.00","0.0",,"31","26"
"GME00102268","DUSSELDORF, GM","1970-01-23","0.18","0.0",,"38","30"
"GME00102268","DUSSELDORF, GM","1970-01-24","0.34","0.0",,"42","35"
"GME00102268","DUSSELDORF, GM","1970-01-25","0.20","0.0",,"48","37"
"GME00102268","DUSSELDORF, GM","1970-01-26","0.74","0.0",,"47","44"
"GME00102268","DUSSELDORF, GM","1970-01-27","0.11","0.0",,"45","38"
"GME00102268","DUSSELDORF, GM","1970-01-28","0.00","0.0",,"42","32"
"GME00102268","DUSSELDORF, GM","1970-01-29","0.00","0.0",,"41","27"
"GME00102268","DUSSELDORF, GM","1970-01-30","0.22","0.0",,"35","31"
